Match Year,Test Matches,ODI Matches,T20I,IPL,BBL,BPL,PSL,T20 Blast,T20s
2001,110,242,0,0,0,0,0,0,0
2002,110,294,0,0,0,0,0,0,0
2003,88,298,0,0,0,0,0,0,0
2004,102,272,0,0,0,0,0,0,0
2005,97,211,1,0,0,0,0,0,1
2006,92,340,25,0,0,0,0,0,25
2007,62,370,66,0,0,0,0,0,66
2008,94,265,132,58,0,0,0,0,190
2009,82,305,139,57,0,0,0,0,196
2010,86,283,121,60,0,0,0,0,181
2011,78,284,138,73,35,0,0,0,246
2012,84,188,185,76,35,43,0,136,475
2013,88,276,208,76,35,33,0,94,446
2014,82,235,203,60,35,0,0,133,431
2015,86,284,203,59,35,33,0,133,463
2016,94,194,204,60,35,46,24,126,471
2017,94,242,187,60,40,46,24,126,459
2018,95,232,140,60,59,46,34,133,438
2019,77,279,124,60,61,46,34,133,424
2020,26,76,133,60,0,0,34,97,290
